lemma,singular,plural,article,taxonomic_phrase,novel_property_is,novel_property_have,generic,remove
meat,meat,meats,meat,is a type of,meat is daxable.,meat has daxes.,s,
teacup,teacup,teacups,a teacup,are a type of,teacups are daxable.,teacups have daxes.,p,
swab,swab,swabs,a swab,are a type of,swabs are daxable.,swabs have daxes.,p,
wedge,wedge,wedges,a wedge,are a type of,wedges are daxable.,wedges have daxes.,p,
copier,copier,copiers,a copier,are a type of,copiers are daxable.,copiers have daxes.,p,
jersey,jersey,jerseys,a jersey,are a type of,jerseys are daxable.,jerseys have daxes.,p,
statue,statue,statues,a statue,are a type of,statues are daxable.,statues have daxes.,p,
leek,leek,leeks,a leek,are a type of,leeks are daxable.,leeks have daxes.,p,
sweatsuit,sweatsuit,sweatsuits,a sweatsuit,are a type of,sweatsuits are daxable.,sweatsuits have daxes.,p,
baklava,baklava,baklavas,a baklava,are a type of,baklavas are daxable.,baklavas have daxes.,p,
centerpiece,centerpiece,centerpieces,a centerpiece,are a type of,centerpieces are daxable.,centerpieces have daxes.,p,
baseball bat,baseball bat,baseball bats,a baseball bat,are a type of,baseball bats are daxable.,baseball bats have daxes.,p,
noisemaker,noisemaker,noisemakers,a noisemaker,are a type of,noisemakers are daxable.,noisemakers have daxes.,p,
pinwheel,pinwheel,pinwheels,a pinwheel,are a type of,pinwheels are daxable.,pinwheels have daxes.,p,
cabbage,cabbage,cabbages,a cabbage,are a type of,cabbages are daxable.,cabbages have daxes.,p,
candlestick,candlestick,candlesticks,a candlestick,are a type of,candlesticks are daxable.,candlesticks have daxes.,p,
squash,squash,squashes,squash,is a type of,squash is daxable.,squash has daxes.,s,
luggage,luggage,luggages,luggage,is a type of,luggage is daxable.,luggage has daxes.,s,
coil,coil,coils,a coil,are a type of,coils are daxable.,coils have daxes.,p,
sailboat,sailboat,sailboats,a sailboat,are a type of,sailboats are daxable.,sailboats have daxes.,p,
quesadilla,quesadilla,quesadillas,a quesadilla,are a type of,quesadillas are daxable.,quesadillas have daxes.,p,
plant,plant,plants,a plant,are a type of,plants are daxable.,plants have daxes.,p,
lipstick,lipstick,lipsticks,a lipstick,are a type of,lipsticks are daxable.,lipsticks have daxes.,p,
brownie,brownie,brownies,a brownie,are a type of,brownies are daxable.,brownies have daxes.,p,
crate,crate,crates,a crate,are a type of,crates are daxable.,crates have daxes.,p,
pantsuit,pantsuit,pantsuits,a pantsuit,are a type of,pantsuits are daxable.,pantsuits have daxes.,p,
cummerbund,cummerbund,cummerbunds,a cummerbund,are a type of,cummerbunds are daxable.,cummerbunds have daxes.,p,
moss,moss,mosses,a moss,are a type of,mosses are daxable.,mosses have daxes.,p,
cockroach,cockroach,cockroaches,a cockroach,are a type of,cockroaches are daxable.,cockroaches have daxes.,p,
lizard,lizard,lizards,a lizard,are a type of,lizards are daxable.,lizards have daxes.,p,
skunk,skunk,skunks,a skunk,are a type of,skunks are daxable.,skunks have daxes.,p,
corset,corset,corsets,a corset,are a type of,corsets are daxable.,corsets have daxes.,p,
spoon,spoon,spoons,a spoon,are a type of,spoons are daxable.,spoons have daxes.,p,
steering wheel,steering wheel,steering wheels,a steering wheel,are a type of,steering wheels are daxable.,steering wheels have daxes.,p,
videogame,videogame,videogames,a videogame,are a type of,videogames are daxable.,videogames have daxes.,p,
ivy,ivy,ivies,ivy,is a type of,ivy is daxable.,ivy has daxes.,s,
curtain,curtain,curtains,a curtain,are a type of,curtains are daxable.,curtains have daxes.,p,
pickle,pickle,pickles,a pickle,are a type of,pickles are daxable.,pickles have daxes.,p,
scooter,scooter,scooters,a scooter,are a type of,scooters are daxable.,scooters have daxes.,p,
banana split,banana split,banana splits,a banana split,are a type of,banana splits are daxable.,banana splits have daxes.,p,
device,device,devices,a device,are a type of,devices are daxable.,devices have daxes.,p,
sea urchin,sea urchin,sea urchins,a sea urchin,are a type of,sea urchins are daxable.,sea urchins have daxes.,p,
garden tool,garden tool,garden tools,a garden tool,are a type of,garden tools are daxable.,garden tools have daxes.,p,
cherry,cherry,cherries,a cherry,are a type of,cherries are daxable.,cherries have daxes.,p,
stamp,stamp,stamps,a stamp,are a type of,stamps are daxable.,stamps have daxes.,p,
tongs,tongs,tongs,tongs,are a type of,tongs are daxable.,tongs have daxes.,p,
sundae,sundae,sundaes,a sundae,are a type of,sundaes are daxable.,sundaes have daxes.,p,
bread,bread,breads,bread,is a type of,bread is daxable.,bread has daxes.,s,
beer,beer,beers,beer,is a type of,beer is daxable.,beer has daxes.,s,
spinach,spinach,spinaches,spinach,is a type of,spinach is daxable.,spinach has daxes.,s,
watering can,watering can,watering cans,a watering can,are a type of,watering cans are daxable.,watering cans have daxes.,p,
mole,mole,moles,a mole,are a type of,moles are daxable.,moles have daxes.,p,
electric chair,electric chair,electric chairs,an electric chair,are a type of,electric chairs are daxable.,electric chairs have daxes.,p,
scarf,scarf,scarves,a scarf,are a type of,scarves are daxable.,scarves have daxes.,p,
stove,stove,stoves,a stove,are a type of,stoves are daxable.,stoves have daxes.,p,
jellyfish,jellyfish,jellyfish,a jellyfish,are a type of,jellyfish are daxable.,jellyfish have daxes.,p,
kite,kite,kites,a kite,are a type of,kites are daxable.,kites have daxes.,p,
lightning bug,lightning bug,lightning bugs,a lightning bug,are a type of,lightning bugs are daxable.,lightning bugs have daxes.,p,
helmet,helmet,helmets,a helmet,are a type of,helmets are daxable.,helmets have daxes.,p,
toothpaste,toothpaste,toothpastes,toothpaste,is a type of,toothpaste is daxable.,toothpaste has daxes.,s,
mouse,mouse,mice,a mouse,are a type of,mice are daxable.,mice have daxes.,p,
moth,moth,moths,a moth,are a type of,moths are daxable.,moths have daxes.,p,
brush,brush,brushes,a brush,are a type of,brushes are daxable.,brushes have daxes.,p,
drill,drill,drills,a drill,are a type of,drills are daxable.,drills have daxes.,p,
calculator,calculator,calculators,a calculator,are a type of,calculators are daxable.,calculators have daxes.,p,
pancake,pancake,pancakes,a pancake,are a type of,pancakes are daxable.,pancakes have daxes.,p,
mallet,mallet,mallets,a mallet,are a type of,mallets are daxable.,mallets have daxes.,p,
organ,organ,organs,an organ,are a type of,organs are daxable.,organs have daxes.,p,
chest,chest,chests,a chest,are a type of,chests are daxable.,chests have daxes.,p,
chicken wire,chicken wire,chicken wires,a chicken wire,are a type of,chicken wires are daxable.,chicken wires have daxes.,p,
ring,ring,rings,a ring,are a type of,rings are daxable.,rings have daxes.,p,
inkwell,inkwell,inkwells,an inkwell,are a type of,inkwells are daxable.,inkwells have daxes.,p,
microphone,microphone,microphones,a microphone,are a type of,microphones are daxable.,microphones have daxes.,p,
hawk,hawk,hawks,a hawk,are a type of,hawks are daxable.,hawks have daxes.,p,
jack,jack,jacks,a jack,are a type of,jacks are daxable.,jacks have daxes.,p,1
latte,latte,lattes,a latte,are a type of,lattes are daxable.,lattes have daxes.,p,
food processor,food processor,food processors,a food processor,are a type of,food processors are daxable.,food processors have daxes.,p,
pony,pony,ponies,a pony,are a type of,ponies are daxable.,ponies have daxes.,p,
lingerie,lingerie,lingeries,lingerie,is a type of,lingerie is daxable.,lingerie has daxes.,s,
calzone,calzone,calzones,a calzone,are a type of,calzones are daxable.,calzones have daxes.,p,
cow,cow,cows,a cow,are a type of,cows are daxable.,cows have daxes.,p,
cd player,cd player,cd players,a cd player,are a type of,cd players are daxable.,cd players have daxes.,p,
missile,missile,missiles,a missile,are a type of,missiles are daxable.,missiles have daxes.,p,
dart,dart,darts,a dart,are a type of,darts are daxable.,darts have daxes.,p,
humvee,humvee,humvees,a humvee,are a type of,humvees are daxable.,humvees have daxes.,p,
dagger,dagger,daggers,a dagger,are a type of,daggers are daxable.,daggers have daxes.,p,
pasta,pasta,pastas,pasta,is a type of,pasta is daxable.,pasta has daxes.,s,
playing card,playing card,playing cards,a playing card,are a type of,playing cards are daxable.,playing cards have daxes.,p,
hose,hose,hoses,a hose,are a type of,hoses are daxable.,hoses have daxes.,p,
pepperoni,pepperoni,pepperonis,a pepperoni,are a type of,pepperonis are daxable.,pepperonis have daxes.,p,
car,car,cars,a car,are a type of,cars are daxable.,cars have daxes.,p,
golf cart,golf cart,golf carts,a golf cart,are a type of,golf carts are daxable.,golf carts have daxes.,p,
walnut,walnut,walnuts,a walnut,are a type of,walnuts are daxable.,walnuts have daxes.,p,
stingray,stingray,stingrays,a stingray,are a type of,stingrays are daxable.,stingrays have daxes.,p,
stockings,stockings,stockings,stockings,are a type of,stockings are daxable.,stockings have daxes.,p,
green beans,green beans,green beans,green beans,are a type of,green beans are daxable.,green beans have daxes.,p,
tamale,tamale,tamales,a tamale,are a type of,tamales are daxable.,tamales have daxes.,p,
gourd,gourd,gourds,a gourd,are a type of,gourds are daxable.,gourds have daxes.,p,
buggy,buggy,buggies,a buggy,are a type of,buggies are daxable.,buggies have daxes.,p,
burrito,burrito,burritos,a burrito,are a type of,burritos are daxable.,burritos have daxes.,p,
pistachio,pistachio,pistachios,a pistachio,are a type of,pistachios are daxable.,pistachios have daxes.,p,
chipmunk,chipmunk,chipmunks,a chipmunk,are a type of,chipmunks are daxable.,chipmunks have daxes.,p,
bandage,bandage,bandages,a bandage,are a type of,bandages are daxable.,bandages have daxes.,p,
hearse,hearse,hearses,a hearse,are a type of,hearses are daxable.,hearses have daxes.,p,
horn,horn,horns,a horn,are a type of,horns are daxable.,horns have daxes.,p,
place mat,place mat,place mats,a place mat,are a type of,place mats are daxable.,place mats have daxes.,p,
harmonica,harmonica,harmonicas,a harmonica,are a type of,harmonicas are daxable.,harmonicas have daxes.,p,
mandolin,mandolin,mandolins,a mandolin,are a type of,mandolins are daxable.,mandolins have daxes.,p,
mold,mold,molds,a mold,are a type of,molds are daxable.,molds have daxes.,p,
zipper,zipper,zippers,a zipper,are a type of,zippers are daxable.,zippers have daxes.,p,
ukulele,ukulele,ukuleles,a ukulele,are a type of,ukuleles are daxable.,ukuleles have daxes.,p,
sandwich,sandwich,sandwiches,a sandwich,are a type of,sandwiches are daxable.,sandwiches have daxes.,p,
goldfish,goldfish,goldfish,a goldfish,are a type of,goldfish are daxable.,goldfish have daxes.,p,
ball,ball,balls,a ball,are a type of,balls are daxable.,balls have daxes.,p,
shaker,shaker,shakers,a shaker,are a type of,shakers are daxable.,shakers have daxes.,p,
roadsweeper,roadsweeper,roadsweepers,a roadsweeper,are a type of,roadsweepers are daxable.,roadsweepers have daxes.,p,
zebra,zebra,zebras,a zebra,are a type of,zebras are daxable.,zebras have daxes.,p,
sombrero,sombrero,sombreros,a sombrero,are a type of,sombreros are daxable.,sombreros have daxes.,p,
uniform,uniform,uniforms,a uniform,are a type of,uniforms are daxable.,uniforms have daxes.,p,
chainsaw,chainsaw,chainsaws,a chainsaw,are a type of,chainsaws are daxable.,chainsaws have daxes.,p,
defibrillator,defibrillator,defibrillators,a defibrillator,are a type of,defibrillators are daxable.,defibrillators have daxes.,p,
tapestry,tapestry,tapestries,a tapestry,are a type of,tapestries are daxable.,tapestries have daxes.,p,
headscarf,headscarf,headscarves,a headscarf,are a type of,headscarves are daxable.,headscarves have daxes.,p,
nail file,nail file,nail files,a nail file,are a type of,nail files are daxable.,nail files have daxes.,p,
pumpkin,pumpkin,pumpkins,a pumpkin,are a type of,pumpkins are daxable.,pumpkins have daxes.,p,
smoothie,smoothie,smoothies,a smoothie,are a type of,smoothies are daxable.,smoothies have daxes.,p,
rope,rope,ropes,a rope,are a type of,ropes are daxable.,ropes have daxes.,p,
ballot box,ballot box,ballot boxes,a ballot box,are a type of,ballot boxes are daxable.,ballot boxes have daxes.,p,
doorknob,doorknob,doorknobs,a doorknob,are a type of,doorknobs are daxable.,doorknobs have daxes.,p,
clothespin,clothespin,clothespins,a clothespin,are a type of,clothespins are daxable.,clothespins have daxes.,p,
lemonade,lemonade,lemonades,a lemonade,are a type of,lemonades are daxable.,lemonades have daxes.,p,
clasp,clasp,clasps,a clasp,are a type of,clasps are daxable.,clasps have daxes.,p,
knife,knife,knives,a knife,are a type of,knives are daxable.,knives have daxes.,p,
